,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2151,52709799,https://www.airbnb.com/rooms/52709799,20240928012050,2024-09-28,city scrape,2 rooms apartment in Oslo,Cozy apartment<br />Free parking<br />Fast Internet<br />All the apartment can be used.,Close to Oslo city centre and close to Lindeberg subway station (only 5 minutes to walk to Lindeberg subway station),https://a0.muscache.com/pictures/af28fa5b-77e5-4b91-9e93-f04eba05a933.jpg,241831121,https://www.airbnb.com/users/show/241831121,Javid,2019-02-08,,,,,,f,https://a0.muscache.com/im/pictures/user/25168eaa-2eea-4ed8-99fb-856a1e61b869.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/25168eaa-2eea-4ed8-99fb-856a1e61b869.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Bydel Alna, Oslo, Norway",Alna,,59.9323,10.87586,Private room in condo,Private room,3,1.0,1 private bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Dedicated workspace"", ""Free parking on premises"", ""Fire extinguisher"", ""Washer"", ""Iron"", ""TV"", ""Wifi"", ""Game console"", ""Shared hot tub"", ""Valley view"", ""Dryer"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Host greets you"", ""Lock on bedroom door"", ""Kitchen"", ""Private entrance"", ""Garden view""]",$795.00,2,30,2,2,1125,1125,2.0,1125.0,,t,30,60,90,365,2024-09-28,4,0,0,2022-04-29,2022-09-03,3.25,3.25,2.5,2.75,3.5,2.25,2.75,,t,1,0,1,0,0.14
3835,809953614468994342,https://www.airbnb.com/rooms/809953614468994342,20240928012050,2024-09-28,city scrape,Sentral leilighet i Oslo,"Unique and urban apartment central in Oslo Located on central Greenland, which is a 10 minute walk from the Central Station, the Opera House and the Munch Museum. A stone's throw away from the subway station. <br /><br />Convenient floor plan and decorative decor. The home includes living room, kitchen, one available bedroom and bath, and has an airy ceiling height up to 3.15 m. A cozy and practical home with a charming atmosphere.  <br /><br />The apartment is lavish with, among other things, a new kitchen in 2018. The color choices are light and harmonious.","Lively neighborhood with short distance to cafes, bars, eateries and hiking areas. Short walking distance to the heart of Oslo.",https://a0.muscache.com/pictures/miso/Hosting-809953614468994342/original/a715e30d-5175-4d14-9be9-b4e0fa8a042a.jpeg,233309430,https://www.airbnb.com/users/show/233309430,Sondre,2018-12-30,"Bergen, Norway",,within an hour,75%,63%,f,https://a0.muscache.com/im/pictures/user/aade859c-e138-45ce-a85e-623d86692eed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aade859c-e138-45ce-a85e-623d86692eed.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Gamle Oslo, Oslo, Norway",Gamle Oslo,,59.91178444902118,10.76478694702652,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Other electric stove"", ""Blender"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Sound system with Bluetooth and aux"", ""Single oven"", ""BBQ grill"", ""Washer"", ""Piano"", ""Drying rack for clothing"", ""Hot water"", ""Coffee maker"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Outdoor dining area"", ""Self check-in"", ""Luggage dropoff allowed"", ""Single level home"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Board games"", ""Outdoor playground"", ""Barbecue utensils"", ""Backyard"", ""Kitchen"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee""]","$3,500.00",2,30,2,2,30,30,2.0,30.0,,t,30,60,90,126,2024-09-28,7,1,0,2023-03-19,2024-02-11,4.14,4.29,2.71,4.29,4.57,4.57,4.0,,f,1,1,0,0,0.37
4132,842515634289103811,https://www.airbnb.com/rooms/842515634289103811,20240928012050,2024-09-28,city scrape,Two bedroom apartment Grunerløkka,"Enjoy Oslo in this classic 2-bedroom apartment located in quiet neigborhood in Grunerløkka. It is walking distance to all of central Oslo, including grocery stores, lots of good resturants and cafes, shopping, tram, subway, bus, Oslo Central Station, as well as Sofienbergparken and Botanical Gardens. <br /><br />The apartment includes a combined kitchen and living room, hall, bathroom and two bedrooms. There is a double bed in the main bedroom, and a 120cm bed in the other bedroom.",,https://a0.muscache.com/pictures/hosting/Hosting-842515634289103811/original/e9625480-f574-4318-8925-46061bb0ddf3.jpeg,289779377,https://www.airbnb.com/users/show/289779377,Asle,2019-08-28,"Oslo, Norway",,,,100%,f,https://a0.muscache.com/im/pictures/user/e293f43e-11d8-4ab2-b0ac-5901e8df7b37.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e293f43e-11d8-4ab2-b0ac-5901e8df7b37.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Grünerløkka,,59.9214,10.76363,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""TV"", ""Fire extinguisher"", ""Wifi"", ""Hair dryer"", ""Kitchen"", ""Washer"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm""]","$1,900.00",3,365,3,3,365,365,3.0,365.0,,t,0,0,0,175,2024-09-28,2,2,0,2024-05-22,2024-08-01,4.0,4.0,2.5,4.0,4.0,4.5,3.5,,f,1,1,0,0,0.46
